TYPE,HANDLER,PATTERN1,PATTERN2,PATTERN3,EXAMPLE1,EXAMPLE2,COMMENT
,,,,,,,
helper,$AMPM,<am|pm|午前|午後>,-,-,午後,-,
helper,$TIME,"<@|at|の>_$AMPM?_\d{1,2}時<[:\.\s\.]\d{1,2}>?<分>?","<@|at|の>?_$AMPM_\d{1,2}<[時:\.]\d{1,2}>?<分>?","<@|at|の>?_$AMPM?_\d{1,2}<時|[:\.分]\d{1,2}分?><分>?",午後3時,"""3:30:00 AM""",
helper,$AT,<at|@|の>?,-,-,at,の,
helper,$XTIME,"(\d{1,2})([:\.\s](\d{1,2}))?",-,-,"""2""",-,
,,,,,,,
helper,$MONTH,<1月|2月|3月|4月|5月|6月|7月|8月|9月|10月|11月|12月>,,-,1月,2月,
helper,$SWEEKDAY,<月曜日?|火曜日?|水曜日?|木曜日?|金曜日?|土曜日?|日曜日?>,-,-,月曜日,-,
helper,$WEEKDAY,<月曜日?|火曜日?|水曜日?|木曜日?|金曜日?|土曜日?|日曜日?>,<月|火|水|木|金|土>,-,月曜日,水,
helper,$SIMPLE_WEEK,<月|火|水|木|金|土|日>,-,-,-,-,
helper,$YEAR,[0-9][0-9][0-9][0-9],-,-,"""2004""",-,
helper,$EV,<毎!?.?|ごと|平日>,-,-,毎,,
helper,$RS,第,-,-,第,-,
helper,$N,"<<[0-9]{1,4}|一|二|三|四|五|六|七|八|九|十|１|２|３|４|５|６|７|８|９|０|壱|弐|参|肆|伍|陸|漆|捌|玖|拾>日?>",-,-,九,"""23""",
helper,$RN,[0-9]?[0-9],-,-,"""2""",-,
helper,$SEP,[-/\.\s]+,-,-,,,
helper,$UNIT,<時|日|週|ヶ月?|か月?|月|年|ヵ月>,-,-,時刻,年,
helper,$AND,"<,|and|&|、|と>",,,と,-,
helper,$START,<から|開始>,,,から,開始日,
helper,$ENDING,<まで|終了>,,,まで,終了日,
helper,$BEFORE,前,,,前,-,
helper,$AFTER,間?後,,,後,-,
,,,,,,,
helper,$U-YEARS,<年毎|年ごと|毎年|年間ごと|年間毎>,,,毎年,年毎,
helper,$U-KA, <ヶ|ヶ|ケ|ヵ|カ|か>,,,,,
helper,$U-MONTHS,<$U-KA?月<毎|ごと>|毎月>,,,毎月,月ごと,
helper,$U-WEEKS,<週毎|週ごと|毎週|週間毎|週間ごと>,,,毎週,週ごと,
helper,$U-DAYS,<毎!?日|日!?毎|ごと>,,,毎日,日毎,
helper,$U-HOURS,<隔|時毎|毎時|時間ごと|時間毎>,,,毎時,時毎,
