TYPE,HANDLER,PATTERN1,PATTERN2,PATTERN3,EXAMPLE1,EXAMPLE2,COMMENT
,,,,,,,
helper,$AMPM,<am|pm>,-,-,pm,-,
helper,$TIME,"<@|d?alle|all'?|a>_\d{1,2}<[:\.\s]\d{1,2}>?_$AMPM?","<@|d?alle|all'?|a>?_\d{1,2}<:\d{1,2}>?_$AMPM","<@|d?alle|all'?|a>?_\d{1,2}[:]\d{1,2}_$AMPM?",alle 3pm,3:30:00 AM,
helper,$AT,<@|d?alle|all'?|a>_,-,-,alle,@,
helper,$XTIME,"(\d{1,2})([:\.\s](\d{1,2}))?",-,-,2,-,
,,,,,,,
helper,$SMONTH,<gennaio|febbraio|marzo?|aprile|maggio|giugno|luglio|agosto|settembre|ottobre|novembre|dicembre>,,-,gennaio,,
helper,$MONTH,<gennaio|febbraio|marzo?|aprile|maggio|giugno|luglio|agosto|settembre|ottobre|novembre|dicembre>,<gen|feb|mar|apr|mag|giu|lug|ago|set|ott|nov|dic>\.?,-,gennaio,feb,
helper,$WEEKDAY,<luned<ì|i>|marted<ì|i>|mercoled<ì|i>|gioved<ì|i>|venerd<ì|i>|sabato|domenica>,<lun|mart|mer|giov?|ven|sab|dom>\.?,-,lunedi,mer,
helper,$YEAR,[0-9][0-9][0-9][0-9],-,-,2004,,
helper,$EV,<ogn(..)|dop(..)|ciascun(..)|replic(..)|ripet(..)|ricorrente>,-,-,ogni,ciascuno,
helper,$RS,°,-,-,°,-,
helper,$N,"<[0-9]{1,4}|un<a|o>?|due|tre|quattr<a|o>?|cinque|sei|sette|ott<a|o>?|nove|dieci|terz<a|o>?>",-,-,nove,23,
helper,$RN,<[0-9]?[0-9]|un<a|o>?|due|tre|quattr<a|o>?|cinque|sei|sette|ott<a|o>?|nove|dieci|terz<a|o>?>,-,-,2,-,
helper,$SEP,[-/.\s]+,-,-,,,
helper,$UNIT,<or(..)|giorn(..)|settiman(..)|mes(..)|ann(..)>,-,-,ore,anno,
helper,$AND,"<,|e>",,,e,-,
