TYPE,HANDLER,PATTERN1,PATTERN2,PATTERN3,EXAMPLE1,EXAMPLE2,COMMENT
,,,,,,,
helper,$AMPM,<am|pm>,-,-,pm,-,
helper,$TIME,"<<<@|um|am>\.?_\d{1,2}<[:\s]\d{1,2}>?_$AMPM?_<Uhr>?>|\d+\.?_Uhr>","<@|um|am>?\.?_\d{1,2}<:\d{1,2}>?_$AMPM_<Uhr>?","<@|um|am>?\.?_\d{1,2}[:]\d{1,2}_$AMPM?_<Uhr>?",um 15:00,12 Uhr,
helper,$AT,<um|am|@>.?_,-,-,um 3pm,-,
helper,$XTIME,"(\d{1,2})([:\s](\d{1,2}))?",-,-,"""2""",-,
,,,,,,,
helper,$SMONTH,<J<a|ä>nuar|Februar|März|April|Mai|Juni|Juli|August|September|Oktober|November|Dezember>\.?,,-,Januar,,
helper,$MONTH,<J<a|ä>nuar|Februar|März|April|Mai|Juni|Juli|August|September|Oktober|November|Dezember>\.?,<J<a|ä>n|Febr?|Mär|Mrz|Apr|Mai|Jun|Jul|Aug|Sept?|Okt|Nov|Dez>\.?,-,Januar,Febr.,
helper,$WEEKDAY,<Montag|Dienstag|Mittwoch|Donnerstag|Freitag|Samstag|Sonntag>s?,<Mo|Di|Mi|Do|Fr|Sa|So>\.?,-,Montag,Mi.,
helper,$YEAR,[0-9][0-9][0-9][0-9],-,-,"""2004""",-,
helper,$EV,<am|an>?_<jede(..)|wiederhol(..)|alle(..)|immer|täglich|monatlich|wöchentlich>,-,-,jeden?,an jeden?,
helper,$RS,<\._eines|\.|ten|-ten>,-,-,.,-,
helper,$N,"<[0-9]{1,4}|ein<en?|er>?|zwei(..)|drei(..)|vier(..)|fünf(..)|sech(..)|sieb(..)|acht(..)|neun(..)|zehn(..)|elf(..)Izwölf(..)>",-,-,neun,"""23""",
helper,$RN,[0-9]?[0-9],-,-,"""2""",-,
helper,$SEP,[-/.\s]+,-,-,,,
helper,$UNIT,<Stunde(..)|Tag(..)|Woche(..)|Monat(..)|Jahr(..)>,-,-,Stunden,Jahr,
