TYPE,HANDLER,PATTERN1,PATTERN2,PATTERN3,EXAMPLE1,EXAMPLE2,COMMENT
,,,,,,,
helper,$AMPM,<am|pm>,-,-,pm,-,
helper,$TIME,"<<@|<à|a>>_\d{1,2}h?<[:\.\s]\d{1,2}m?>?_$AMPM?|<@|<à|a>>?_\d{1,2}h?<:\d{1,2}m?>?_$AMPM>","<@|<à|a>>?_\d{1,2}h<:\d{1,2}m>?_$AMPM?","<@|at>?_\d{1,2}h?[:]\d{1,2}m?_$AMPM?",à 15h,3:30:00 AM,
helper,$AT,<<à|a>|@>_,-,-,à,@,
helper,$XTIME,"(\d{1,2})h?([:\.\s](\d{1,2})m?)?",-,-,2,-,
,,,,,,,
helper,$SMONTH,<janvier|f<e|é>vrier|mars|avril|mai|juin|juillet|ao<û|u>t|septembre|octobre|novembre|d<e|é>cembre>,,-,janvier,,
helper,$MONTH,<janvier|f<e|é>vrier|mars|avril|mai|juin|juillet|ao<û|u>t|septembre|octobre|novembre|d<e|é>cembre>s?,<janv?|f<é|e>vr?|mar|avri?|mai|juin?|juil?|ao<û|u>|sept?|octo?|nove?|d<é|e>ce?>\.?,-,janvier,fev,
helper,$WEEKDAY,<lundi|mardi|mercredi|jeudi|vendredi|samedi|dimanche>s?,<lun|mer|jeu|ven|sam|dim>\.?,-,lundi,mer,
helper,$YEAR,[0-9][0-9][0-9][0-9],-,-,2004,-,
helper,$EV,<tou(..)<_les>?|chaque!?|r<e|é>p<è|e>t(..)?>,-,-,tous les,chaque,
helper,$RS,<er|e|<è|e>me|nd|\.>,-,-,e,-,
helper,$N,"<[0-9]{1,4}|un|une|deux|trois|quatre|cinq|six|sept|huit|neuf|dix>",-,-,neuf,23,
helper,$RN,<[0-9]?[0-9]|un|une|deux|trois|quatre|cinq|six|sept|huit|neuf|dix>,-,-,2,-,
helper,$SEP,[-/.\s]+,-,-,,,
helper,$UNIT,<heures?|jours?|semaines?|mois?s?|ans?|année>,-,-,heures,an,
helper,$AND,"<,|et>",,,et,-,
helper,$START,<<à|a> partir<_du>?|du>,-,-,à partir de,-,
