TYPE,HANDLER,PATTERN1,PATTERN2,PATTERN3,EXAMPLE1,EXAMPLE2,COMMENT
,,,,,,,
helper,$AMPM,<am|pm>,-,-,pm,-,Sweden is on the 24 hour clock
helper,$TIME,"<@|kl(..)|vid>_\d{1,2}<[:\.\s]\d{1,2}>?_$AMPM?","<@|kl(..)|vid>?_\d{1,2}<[:.]\d{1,2}>?_$AMPM","<@|kl(..)|vid>?_\d{1,2}[:]\d{1,2}_$AMPM?",klockan 15.00,"""3:30""",
helper,$AT,<@|kl(..)|vid>_,-,-,klockan 15.00,@,
helper,$XTIME,"(\d{1,2})([:\.\s](\d{1,2}))?",-,-,"""2""",-,
,,,,,,,
helper,$SMONTH,<januari|februari|mars|april|maj|juni|juli|augusti|september|oktober|november|december>,,-,januari,,
helper,$MONTH,<januari|februari|mars|april|maj|juni|juli|augusti|september|oktober|november|december>,<jan|feb|mar|apr|maj|jun|jul|aug|sep|okt|nov|dec>\.?,-,januari,feb,
helper,$SWEEKDAY,<måndag|tisdag|onsdag|torsdag|fredag|lördag|söndag>(..),-,-,måndag,-,
helper,$WEEKDAY,<måndag|tisdag|onsdag|torsdag|fredag|lördag|söndag>(..),<mån|tis|ons|tor|fre|lör|sön>\.?,-,måndag,ons,
helper,$YEAR,[0-9][0-9][0-9][0-9],-,-,"""2004""",-,
helper,$EV,<var(..)|ef(..)|varje|återkommande?>,-,-,varje,varje,
helper,$RS,[\.:]?<sta|n?dra|dje|e|\.|a>,-,-,dra,-,"
"
helper,$N,"<[0-9]{1,4}|en|ett|två|tre|fyra|fem|sex|sju|åtta|nio|tio>",-,-,nio,"""23""",
helper,$RN,<[0-9]?[0-9]|en|ett|två|tre|fyra|fem|sex|sju|åtta|nio|tio>,-,-,"""2""",-,
helper,$SEP,[-/.\s]+,-,-,,,
helper,$UNIT,<timm(..)|dag(..)|veck(..)|månad(..)|år(..)>,-,-,timmar,år,
helper,$AND,"<,|och|med>",,,och,-,
helper,$START,<bör(..)|börja(..)< den>?|start(..)|från>,,,början,börja,
helper,$ENDING,<slut(..)|slut(..)< den>?>,,,slut,-,
helper,$BEFORE,före,,,"före
",-,
helper,$AFTER,<efter>,,,efter,-,
,,,,,,,
helper,$U-YEARS,<år|årlig(..)>,,,årligen,"år
",
helper,$U-MONTHS,<månad(..)>,,,månadsvis,månad,
helper,$U-WEEKS,veck<o|a>(..),,,veckovis,vecka,
helper,$U-DAYS,dag(..),,,dagligen,dag,
helper,$U-HOURS,<timm<e|ar>?|varje timm<e|ar>>,,,varje timme,timme,
helper,$U-NEXT,<nästa|följand(..)|annanr|kommand(..)>,,,nästa,-,
helper,$U-OTHER,annan,,,annan,-,
helper,$U-OF,<i|om|av>?,,,i,in,
helper,$U-IN,<i|om|av>?,,,i,in,
helper,$U-FOR,<under>,-,,"under
",under,every day <for> 6 months
helper,$R-OF,<i|om|av|till>,,,i,om,
helper,$U-LAST,<sista|sluta|förra>,,,sista,-,
helper,$U-WORKDAYS,<vars?_dag|arbets?_dag(..)>,,,arbetsdag,arbetsdag,
,,,,,,,
composite,"{""type"": ""start_end"", ""date"": ""$1"", ""start_date"": ""$3"", ""end_date"": ""$2""}",(.+)< $AND>? $U-IN_$ENDING (.+)< $AND>? $START (.+),-,-,varje dag med slut om 6 månader och med början på måndag ,,
composite,"{""type"": ""start_end"", ""date"": ""$1"", ""start_date"": ""$2"", ""end_date"": ""$3""}",(.+)< $AND>? $START (.+)< $AND>? $U-IN_$ENDING (.+),-,-,varje dag med början på måndag och med slut om 6 månader,,
composite,"{""type"": ""starting"", ""date"": ""$1"", ""start_date"": ""$2""}",(.+)< $AND>? $START _$U-IN_(.+),-,-,varje dag med start 10 dec,-,
composite,"{""type"": ""ending"", ""date"": ""$1"", ""end_date"": ""$2""}",(.+)< $AND>? $ENDING _$U-IN_(.+),-,-,varje dag med slut om 6 månader,-,
composite,"{""type"": ""ending"", ""date"": ""$1"", ""end_date"": ""$2""}",(.+)< $AND>? $U-FOR_(.+),-,-,varje dag under 6 månader,-,
composite,"{""type"": ""before_after"", ""number"": ""$1"", ""unit"": ""$2"", ""mod"": ""before"", ""rel_date"": ""$3""}",\+?$U-OF_($N)_($UNIT)_$BEFORE_(.+)?,-,-,om 3 dagar före den 3:dje mars,-,
