TYPE,HANDLER,PATTERN1,PATTERN2,PATTERN3,EXAMPLE1,EXAMPLE2,COMMENT
,,,,,,,
helper,$AMPM,<am|pm>,-,-,pm,-,
helper,$TIME,"<@|at>_\d{1,2}h?<[:\s]\d{1,2}m?>?_$AMPM?","<@|at>?_\d{1,2}h?<[.:]\d{1,2}m?>?_$AMPM","<@|at>?_\d{1,2}h?[:]\d{1,2}m?_$AMPM?",at 3pm,"""3:30 AM""",
helper,$AT,<at|@>_,-,-,at,@,
helper,$XTIME,"(\d{1,2})h?([:\.\s.](\d{1,2})m?)?",-,-,"""2""",-,
,,,,,,,
helper,$SMONTH,<january|february|march|april|may|june|july|august|september|october|november|december>,-,-,january,-,
helper,$MONTH,<january|february|march|april|may|june|july|august|september|october|november|december>,<jan|feb|mar|apr|may|jun|jul|aug|sept?|oct|nov|dec>\.?,-,january,feb,
helper,$WEEKDAY,<monday|tuesday|wednesday|thursday|friday|saturday|sunday>'?s?,<mon|tue|wed|thur?|fri|sat|sun>\.?'?s?,-,monday,wed,
helper,$YEAR,[0-9][0-9][0-9][0-9],-,-,"""2004""",-,
helper,$EV,<ev|every|after|each|repeats?|daily|weekly|monthly|yearly|annually|bi>!?,-,-,every,each,
helper,$RS,<st|nd|rd|th>,-,-,nd,-,
helper,$N,"<[0-9]{1,4}|one|two|three|four|five|six|seven|eight|nine|ten>",-,-,nine,"""23""",
helper,$RN,[0-9]?[0-9],-,-,"""2""",-,
helper,$SSEP,[-/]+,-,-,,,
helper,$SEP,[-/.\s]+,-,-,,,
helper,$UNIT,<hours?|days?|weeks?|months?|years?>,-,-,hours,year,
helper,$AND,"<,|and>",,,and,-,
helper,$START,<star(..)|start(..) on>,,,starting,start,
helper,$ENDING,<end(..)|end(..) on>,,,ending,-,
helper,$BEFORE,before,,,before,-,
helper,$AFTER,<after|from>,,,after,-,
,,,,,,,
helper,$U-YEARS,<years?|yearly>,,,yearly,year,
helper,$U-MONTHS,<months?|monthly>,,,monthly,month,
helper,$U-WEEKS,<weeks?|weekly>,,,weekly,week,
