TYPE,HANDLER,PATTERN1,PATTERN2,PATTERN3,EXAMPLE1,EXAMPLE2,COMMENT
,,,,,,,
helper,$AMPM,<오전|오후>,-,-,오후,-,
helper,$TIME,"<@|에>_$AMPM?_\d{1,2}<[시:\.\s]_\d{1,2}분?>?_<@|에>?","<@|에>?_$AMPM_\d{1,2}시_<\d{1,2}분?>?_<@|에>?","<@|에>?_$AMPM?_<\d{1,2}시_\d{1,2}분|\d{1,2}_<시|[시:]_\d{1,2}분?>>_<@|에>?","""@ 오후1:00""","""오전 3:30:00""",
helper,$AT,<에|에>_,-,-,에,에,
helper,$XTIME,"(\d{1,2})([:\.\s시]_(\d{1,2})분?)?",-,-,"""2""",15시 15분,
,,,,,,,
helper,$MONTH,<1월|2월|3월|4월|5월|6월|7월|8월|9월|10월|11월|12월>에?,-,-,1월,,
helper,$WEEKDAY,<월요일|화요일|수요일|목요일|금요일|토요일|일요일><마다>?,-,-,월요일,-,
helper,$YEAR,[0-9][0-9][0-9][0-9],-,-,"""2004""",-,
helper,$EV,<매월?|후에|반복|마다|모든>,-,-,매,매,
helper,$EEND,<마다>?,-,-,매,매,
helper,$RS,<번째|일날>,-,-,번째,-,
helper,$N,"<[0-9]{1,4}|첫|첫|두|세|네|다섯|여섯|일곱|여덟|아홉|열>",-,-,아홉,"""23""",
helper,$RN,[0-9]?[0-9],-,-,"""2""",-,
helper,$SEP,[-/.\s]+,-,-,,,
helper,$UNIT,<시간|일|주|개월|년|달>,-,-,시간,년,
helper,$AND,"<,|그리고>",,,그리고,-,
helper,$START,시작<으로|하여>?,,,시작,시작,
helper,$ENDING,<종료|까지><하며>?,,,종료,-,
helper,$BEFORE,<날_>?전에?,,,전에,-,
helper,$AFTER,<날_>?<후에?|부터>,,,후에,-,
,,,,,,,
helper,$U-YEARS,<매?년>,,,매년,년,
helper,$U-MONTHS,<개월|매월|월|달>,,,매월,개월,
helper,$U-WEEKS,<주|매>,,,매주,주,
helper,$U-DAYS,<일|매일|날>,,,매일,일,
helper,$U-HOURS,<시간|매시간>,,,매시간,시간,
helper,$U-NEXT,<다음|다음|다음>,,,다음,-,
helper,$U-OTHER,다음,,,다음,-,
helper,$U-OF,<의|에>?,,,의,에,
helper,$U-FOR,<동안\s|동안>,-,,동안,동안,6개월 <동안> 매일 
helper,$R-OF,<의|에>,,,에,의,
helper,$U-LAST,<마지막|마지막>,,,마지막,-,
helper,$U-WORKDAYS,평일날?,,,평일,평일,
,,,,,,,
composite,"{""type"": ""start_end"", ""date"": ""$3"", ""start_date"": ""$1"", ""end_date"": ""$2""}",(.+)$AND? $START (.+)_$AND?_$ENDING (.+),-,-,내일 시작 그리고 6개월 후에 종료 매일,내일 시작 6개월 후에 종료 매일,
composite,"{""type"": ""starting"", ""date"": ""$2"", ""start_date"": ""$1""}",(.+)_$AND?_$START (.+),-,-,내일 시작 매일,12월 10일 시작으로 매일,
composite,"{""type"": ""ending"", ""date"": ""$2"", ""end_date"": ""$1""}",(.+)_$AND?_$ENDING (.+),-,-,6개월 후에 종료 매일,-,
composite,"{""type"": ""ending"", ""date"": ""$2"", ""end_date"": ""$1""}",(.+)_$AND?_$U-FOR_(.+),-,-,6개월 동안 매일,-,
composite,"{""type"": ""before_after"", ""number"": ""$2"", ""unit"": ""$3"", ""mod"": ""before"", ""rel_date"": ""$1""}",(.+)_$BEFORE_($N)_($UNIT)_<안에>?,-,-,3월 3일 전 3일 안에,5월 5일날 전에 5일,
composite,"{""type"": ""before_after"", ""number"": ""$2"", ""unit"": ""$3"", ""mod"": ""after"", ""rel_date"": ""$1""}",(.+)_$AFTER_($N)_($UNIT)_<안에>?,-,-,4월 2일 후 5일 안에,-,
composite,"{""type"": ""starting"", ""date"": ""$2"", ""start_date"": ""$1""}",($MONTH)_$U-OF_($EV_$WEEKDAY_$EEND),-,-,-,-,
,,,,,,,
recurring,"{""type"": ""every_comma"", ""patterns"": ""$1"", ""time"": ""$2""}","$EV ([^,]+,.+)_($TIME)?",-,-,"매 5일, 6일마다 오후 3시에","매 월요일, 화요일마다",
recurring,"{""type"": ""every_year"", ""number"": ""$1""}",$EV_($N?)_$U-YEARS_$EEND,-,-,매 3년마다,-,
recurring,"{""type"": ""every_year"", ""number"": ""$1""}",($N)?_$U-YEARS_$EEND,-,-,매년,2년,
,,,,,,,
recurring,"{""type"": ""every_month"", ""number"": ""$1""}",$EV_($N)?_$RS?_$U-MONTHS_$EEND,-,-,매 2개월마다,매월,
recurring,"{""type"": ""every_month"", ""number"": ""$1""}",($N)_$RS?_$U-MONTHS_마다,-,-,3개월마다,-,
recurring,"{""type"": ""every_month"", ""number"": ""2""}",$EV_$U-OTHER_$U-MONTHS_$EEND,-,-,매 다음달마다,-,
,,,,,,,
,"{""type"": ""every_day_month"", ""number1"": ""$1"", ""number2"": ""$2""}",$EV_($N)월 ($N)일_$EEND,-,-,매 5월 5일마다,-,
,,,,,,,
,"{""type"": ""every_spec_month"", ""number"": ""$1"", ""month"": ""$2""}",$EV_($N)_$RS? ($MONTH)_$EEND,-,-,매 4월 2일마다,-,
recurring,"{""type"": ""every_spec_month"", ""number"": ""$2"", ""month"": ""$1""}",$EV_($MONTH)_($N)일?_$RS?_$EEND,-,-,매 4월 3일마다,매 5월 5일마다,
recurring,"{""type"": ""every_spec_month"", ""number"": ""$2"", ""month"": ""$1""}",($MONTH)_($N)일?_$RS?_$EV,-,-,5월 5일마다,-,
,,,,,,,
recurring,"{""type"": ""every_last_work_day"", ""month"": ""$1""}",$EV_($MONTH)?_$U-OF_$U-LAST_$U-WORKDAYS_$EEND,-,-,매 5월의 마지막 평일마다,-,
recurring,"{""type"": ""every_last_work_day"", ""month"": """"}",매월_마지막_평일날마다,-,-,-,-,
recurring,"{""type"": ""every_last_day"", ""month"": ""$1""}",($MONTH)?_$U-OF $EV_$U-LAST_$U-DAYS_$EEND,-,-,4월의 매 마지막날마다,4월 매 마지막날마다,
recurring,"{""type"": ""every_last_day"", ""month"": ""$1""}",$EV_($MONTH)?_$U-OF_$U-LAST_$U-DAYS_$EEND,-,-,매 4월의 마지막날마다,-,
recurring,"{""type"": ""every_last_day"", ""month"": """"}",마지막날마다,매월_마지막날마다,-,마지막날마다,-,
,,,,,,,
,,,,,,,
recurring,"{""type"": ""every_last_work_day"", ""month"": ""$1""}",($MONTH)?_$U-OF $EV_$U-LAST_$U-WORKDAYS__$EEND,-,-,5월의 매 마지막 평일마다,5월 매 마지막 평일마다,
recurring,"{""type"": ""every_last_work_day"", ""month"": """"}",마지막_평일날마다,-,-,마지막 평일날마다,-,
recurring,"{""type"": ""every_week_day"", ""number"": ""$1""}",$EV_$U-WORKDAYS_($N)?_$RS?_$EEND,-,-,매 평일 3일날마다,매 평일마다,
,,,,,,,
,,,,,,,
,,,,,,,
recurring,"{""type"": ""every_week"", ""number"": ""$1""}",$EV_($N)?_$RS?_$U-WEEKS_$EEND,-,-,매 세번째 주마다,매주,
recurring,"{""type"": ""every_week"", ""number"": ""$1""}",($N)_$RS?_$U-WEEKS_마다,-,-,두번째주마다,-,
recurring,"{""type"": ""every_week"", ""number"": ""$1""}",($N)_주_$RS?_마다,-,-,2주마다,,
,,,,,,,
recurring,"{""type"": ""every_other_week_day""}",$EV_$U-OTHER $U-WORKDAYS_$EEND,-,-,매 다음 평일마다,-,
recurring,"{""type"": ""every_other_day""}",$EV_$U-OTHER_$U-DAYS_$EEND,매_2일마다,-,매 다음날마다,매 2일마다,
,,,,,,,
